Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location,Highlighted at,Document tags
"For decades, major presidential candidates have released their tax returns – a move that began as an effort to demonstrate trans",Release of Trump’s federal tax returns ushers in a charged new era of presidential oversight,Eric Bradner,,,,,offset,23022,2022-12-30 15:09:31.687540+00:00,
"In essence, the foundation is the cumulative result of your consistent, principled actions, which not only assist you in finding a job now but also equip you with the tools and relationships necessary for ongoing success in your career.",__good领导与协作建议,chatgpt.com,,,,,offset,32675,2024-09-14 14:07:09.557686+00:00,
这一件新闻，第二天便传遍了全未庄。人人都愿意知道现钱和新夹袄的阿Ｑ的中兴史，所以在酒店里，茶馆里，庙檐下，便渐渐的探听出来了。这结果，是阿Ｑ得了新敬畏,鲁迅全集（全20卷） - highlights,,,八卦之因。,,,page,43,2024-10-26 17:08:17+00:00,
据阿Ｑ说，他是在举人老爷家里帮忙，这一节，听的人都肃然了。这老爷本姓白，但因为合城里只有他一个举人，所以不必再冠姓，说起举人来就是他。这也不独在未庄是如此，便是一百里方圆之内也都如此，人们几乎多以为他的姓名就叫举人老爷的了。在这人的府上帮忙，那当然是可敬的。但据阿Ｑ又说，他却不高兴再帮忙了，因为这举人老爷实在太“妈妈的”了。这一节，听的人都叹息而且快意，因为阿Ｑ本不配在举人老爷家里帮忙，而不帮忙是可惜的。,鲁迅全集（全20卷） - highlights,,,"#6

叹息
快意",,,page,43,2024-10-26 17:09:39+00:00,
什么假洋鬼子，只要放在城里的十几岁的小乌龟子的手里，也就立刻是“小鬼见阎王”。这一节，听的人都赧然了。,鲁迅全集（全20卷） - highlights,,,,,,page,43,2024-10-27 05:39:38+00:00,
其次，是村人对于他的敬畏忽而变相了，虽然还不敢来放肆，却很有远避的神情，而这神情和先前的防他来“嚓”的时候又不同，颇混着“敬而远之”的分子了。,鲁迅全集（全20卷） - highlights,,,,,,page,43,2024-10-27 06:17:20+00:00,
这刹那中，他的思想又仿佛旋风似的在脑里一回旋了。四年之前，他曾在山脚下遇见一只饿狼，永是不近不远的跟定他，要吃他的肉。他那时吓得几乎要死，幸而手里有一柄斫柴刀，才得仗这壮了胆，支持到未庄；可是永远记得那狼眼睛，又凶又怯，闪闪的像两颗鬼火，似乎远远的来穿透了他的皮肉。而这回他又看见从来没有见过的更可怕的眼睛了，又钝又锋利，不但已经咀嚼了他的话，并且还要咀嚼他皮肉以外的东西，永是不远不近的跟他走。,鲁迅全集（全20卷） - highlights,,,看客,,,page,43,2024-10-29 08:16:44+00:00,
至于舆论，在未庄是无异议，自然都说阿Ｑ坏，被枪毙便是他的坏的证据；不坏又何至于被枪毙呢？而城里的舆论却不佳，他们多半不满足，以为枪毙并无杀头这般好看；而且那是怎样的一个可笑的死囚呵，游了那么久的街，竟没有唱一句戏：他们白跟一趟了。,鲁迅全集（全20卷） - highlights,,,,,,page,43,2024-10-29 08:19:44+00:00,
天子既以帝三世宰辅，政非己出，情不能安，又虑废辱，将临轩召百僚而行放黜,【二十四史】05：晋书 - highlights,,,,,,,0,2024-10-25 13:14:36+00:00,
贾充叱诸将曰：“公畜养汝辈，正为今日耳！”太子舍人成济抽戈犯跸，刺之，刃出于背，天子崩于车中。帝召百僚谋其故，仆射陈泰不至。,【二十四史】05：晋书 - highlights,,,,,,,0,2024-10-26 04:23:18+00:00,
